tweets,clean_tweets,sentiment
indiyah being with dami actually makes me happy cuz she already said yesterday that they were making content together and we all know he likes to take pictures of her so we’re gonna be fed these next two weeks (or so) that they’re together! #indiyah #LoveIsland #damiyah @1ndiyah,indiyah dami makes happy cuz yesterday making content likes pictures gon fed weeks theyre indiyah loveisland damiyah 1ndiyah,neutral
RT @JilishaMW: Jacques &amp; Luca saying they carried Love Island for 6 weeks is no different to Liam Payne saying he carried One Direction 😒😒…,rt jilishamw jacques amp luca carried love island 6 weeks different liam payne carried direction,positive
"RT @Metagar_co: 🎁 GIVEAWAY! 🎁
Prize:
🏆100$ 

Must:
Last 2 Tweet RT + Like 📌
 Tag 3 Friends 📌 

⏰48 HR

#SolGiveaway #NFT #Solana #TRON #Cry…",rt metagar_co giveaway prize 100 2 tweet rt tag 3 friends 48 hr solgiveaway nft solana tron cry,neutral
"RT @georgiafeck: jacques and luca “happening” to bully a deaf contestant and a black contestant is not a coincidence. these able-bodied, wh…",rt georgiafeck jacques luca happening bully deaf contestant black contestant coincidence ablebodied wh,negative
RT @dangokingg: The only girl that needs to come back from casa amor is tigerlily. The rest of them were just…🥱🥱#LoveIslandUSA #LoveIsland…,rt dangokingg girl back casa amor tigerlily rest justloveislandusa loveisland,neutral
RT @Guille13349294: #ElGuille Acevedo CULEA a la abuela Margarita #TITY5第2回トップモデル選挙 .#육년동안_내심장의색은_블랙핑크 #พิษรักสีชมพู #육년동안_내심장의색은_블랙핑크 #Lov…,rt guille13349294 elguille acevedo culea abuela margarita tity5第2回トップモデル選挙 육년동안_내심장의색은_블랙핑크 พษรกสชมพ 육년동안_내심장의색은_블랙핑크 lov,neutral
RT @03683m: andrew and tasha both unfollowed jacques!! we love an unproblematic couple 🤎 #loveIsland https://t.co/Dovf8OLuXA,rt 03683m andrew tasha unfollowed jacques love unproblematic couple loveisland,positive
"RT @trinawatters: Luca and Jacques saying they carried the show gives MAJOR Liam Payne saying he created One Direction energy 

#LoveIsland…",rt trinawatters luca jacques carried show major liam payne created direction energy loveisland,positive
#LoveIsland,loveisland,neutral
"RT @SanaRavishing: Love Island’s Jacques has shaded not 1, not 2 not 3 not 4 and not even 5 BUT 6 ISLANDERS he has shaded Ekin Su and David…",rt sanaravishing love islands jacques shaded 1 2 3 4 5 6 islanders shaded ekin david,positive
